3000|3000|			地图长宽（必须写在第一行）

<1类节点>
----------------------校门----------------------
1|西门|228|1436|250|1390|		前面两个数字为节点坐标，后面两个数字为汉字位置坐标
1|南门|1840|2340|1825|2275|		(这里可以写注释)
1|北门|1870|90|1840|120|
1|小北门|900|480|884|515|
1|东门|2540|1425|2530|1344|		5

----------------------体育场馆----------------------
1|西操场|584|1342|470|1230|
1|西篮球场|565|1082|460|1050|
1|风雨操场|2130|600|2130|360|
1|东操场|2550|606|2626|360|
1|东篮球场|2200|600|2234|700|	10
1|网球场|2456|606|2466|720|
1|羽毛球场|2278|606|2372|505|
1|游泳馆|2580|608|2582|742|
1|综合体育馆|2370|304|2364|235|
1|体育部|1905|360|1975|360|		15

----------------------教学楼----------------------
1|1号教学楼|1905|1663|1972|1663|
1|2号教学楼|1820|1663|1753|1663|
1|3号教学楼|1905|1570|1990|1570|
1|4号教学楼|1820|1570|1735|1570|
1|5号教学楼|1905|1490|1995|1490|	20
1|6号教学楼|1820|1490|1730|1490|
1|7号教学楼|1905|1365|1995|1365|
1|8号教学楼|1820|1365|1730|1365|
1|9号教学楼|1905|1280|1995|1280|
1|10号教学楼|1820|1280|1730|1280|	25
1|11号教学楼|1905|1200|1995|1200|
1|12号教学楼|1820|1200|1730|1200|

----------------------实验楼----------------------
1|1号实验楼|2390|1288|2308|1294|
1|2号实验楼|2393|1142|2304|1158|
1|3号实验楼|2395|1010|2301|1010|	30
1|4号实验楼|2397|899|2303|891|
1|5号实验楼|2397|912|2515|891|

----------------------宿舍楼----------------------
1|学生公寓1号楼|1566|599|1474|571|
1|学生公寓2号楼|1568|267|1474|272|
1|学生公寓3号楼|1398|642|1330|613|	35
1|学生公寓4号楼|1400|361|1332|330|
1|学生公寓5号楼|1251|789|1166|780|
1|学生公寓6号楼|1249|438|1181|406|
1|学生公寓7号楼|1085|909|999|883|
1|学生公寓8号楼|1084|597|995|582|	40
1|学生公寓9号楼|909|976|827|970|
1|学生公寓10号楼|741|790|653|788|
1|学生公寓11号楼|740|1022|654|1004|
1|学生公寓12号楼|542|909|460|898|

----------------------其他建筑----------------------
1|图书馆|1088|1641|1150|1750|	45
1|逸夫建筑艺术馆|909|1296|1035|1290|
1|工程认知博物馆|1823|192|1800|162|
